AoA,Cl,Cd,Cm,ClCd
-5.0,2.496262482983652,0.005839160537041686,1.5998287796344188,427.5036569294843
-4.5,2.4110654842782515,0.005839160537041686,1.609258824865132,412.91303244417696
-4.0,2.3256848736013738,0.005839160537041686,1.621374016919606,398.2909630327861
-3.5,2.2401271530171423,0.005839160537041686,1.6361706653929522,383.63856222251866
-3.0,2.154398838077189,0.005839160537041686,1.653644263082719,368.9569458504184
-2.5,2.0685064573246508,0.005839160537041686,1.6737894873617705,354.24723197842155
-2.0,1.9824565517968118,0.005839160537041686,1.6966002017996762,339.5105408081811
-1.5,1.896255674527142,0.005839160537041686,1.7220694580318197,324.7479945957863
-1.0,1.8099103900462725,0.005839160537041686,1.7501894978759802,309.9607175663017
-0.5,1.723427273881761,0.005839160537041686,1.7809517556957297,295.1498358280978
0.0,1.6368129120579227,0.005839160537041686,1.8143468610091933,280.31647728719355
0.5,1.5500739005935427,0.005839160537041686,1.8503646413439427,265.46177156123576
1.0,1.4632168450002987,0.005839160537041686,1.888994125335092,250.58684989360017
1.5,1.3762483597792627,0.005839160537041686,1.9302235460675798,235.69284506716374
2.0,1.289175067917308,0.005839160537041686,1.9740403446604384,220.78089131806047
2.5,1.202003600382657,0.005839160537041686,2.0204311740924363,205.85212424929017
3.0,1.1147405956200704,0.005839160537041686,2.069381903267496,190.90768074426592
3.5,1.0273926990452835,0.005839160537041686,2.1208776213192704,175.94869888023237
4.0,0.9399665625387108,0.005839160537041686,2.1749026421532673,160.976317841559
4.5,0.8524688439391577,0.005839160537041686,2.2314405092247616,145.99167783303434
5.0,0.7649062065365708,0.005839160537041686,2.290474000551851,130.99591999299577
5.5,0.6772853185651205,0.005839160537041686,2.3519851339608593,115.9901863065159
6.0,0.5896128526943615,0.005839160537041686,2.4159551725649986,100.97561951826026
6.5,0.5018954855221103,0.005839160537041686,2.482364630470731,85.95336304563864
7.0,0.41413989706538057,0.005839160537041686,2.551193278713934,70.92456089162394
7.5,0.3263527702521255,0.005839160537041686,2.6224201514214633,55.89035755770927
8.0,0.23854079041188508,0.005839160537041686,2.6960235521979725,40.85189795667749
8.5,0.15071064476684606,0.005839160537041686,2.771981060734647,25.810327325441392
9.0,0.0628690219228912,0.005839160537041686,2.8502695396382363,10.766791137882082
9.5,-0.024977388640643333,0.005839160537041686,2.9308651414801172,-4.277564982533896
10.0,-0.11282189707926726,0.005839160537041686,3.0137433160589255,-19.321595349804618
10.5,-0.20065781369361158,0.005839160537041686,3.0988788178799016,-34.36415430278126
11.0,-0.2884784494387612,0.005839160537041686,3.186245713844757,-49.40409629239515
11.5,-0.3762771164327896,0.005839160537041686,3.2758173911499293,-64.4402759687481
12.0,-0.4640471284676806,0.005839160537041686,3.3675665653954,-79.47154826861164
12.5,-0.5517818015171307,0.005839160537041686,3.4614652888937516,-94.49676850239193
13.0,-0.6394744542462127,0.005839160537041686,3.557484959184339,-109.51479244141349
13.5,-0.7271184085197022,0.005839160537041686,3.655596327745204,-124.52447640497391
14.0,-0.8147069899111525,0.005839160537041686,3.7557695089029806,-139.5246773475268
14.5,-0.9022335282112578,0.005839160537041686,3.857973988936739,-154.5142529457427
15.0,-0.9896913579346531,0.005839160537041686,3.962178635370947,-169.49206168530245
15.5,-1.0770738188297597,0.005839160537041686,4.068351706461836,-184.45696294821195
16.0,-1.1643742563833166,0.005839160537041686,4.176460860862734,-199.40781709920714
16.5,-1.2515860223293198,0.005839160537041686,4.286473167478334,-214.3434855729134
17.0,-1.3387024751538517,0.005839160537041686,4.3983551154939455,-229.26283096030156
17.5,-1.4257169806020833,0.005839160537041686,4.512072624584884,-244.16471709551578
18.0,-1.5126229121821277,0.005839160537041686,4.627591055295623,-259.04800914216224
18.5,-1.5994136516713366,0.005839160537041686,4.744875219593929,-273.9115736800162
19.0,-1.6860825896181397,0.005839160537041686,4.863889391586004,-288.75427879096566
19.5,-1.7726231258483007,0.005839160537041686,4.984597318403709,-303.57499414571174
20.0,-1.8590286699644154,0.005839160537041686,5.106962231242353,-318.3725910893112
